year,consumption_co2
1990,0.804
1991,0.864
1992,0.921
1993,0.947
1994,1.044
1995,1.149
1996,1.206
1997,1.193
1998,1.252
1999,1.224
2000,2.463
2001,2.57
2002,2.669
2003,2.004
2004,2.358
2005,2.31
2006,3.026
2007,3.248
2008,3.869
2009,4.994
2010,2.258
2011,2.226
2012,2.609
2013,3.346
2014,3.523
2015,7.343
2016,12.742
2017,21.184
2018,21.873
2019,21.743
2020,22.045
2021,24.639
