year,consumption_co2
1990,1.854
1991,1.928
1992,2.023
1993,1.983
1994,2.121
1995,2.064
1996,2.343
1997,2.284
1998,2.846
1999,2.726
2000,4.868
2001,5.613
2002,7.109
2003,6.404
2004,7.902
2005,9.656
2006,10.64
2007,11.168
2008,13.226
2009,11.639
2010,15.768
2011,22.188
2012,21.684
2013,24.997
2014,23.407
2015,28.494
2016,27.562
2017,29.048
2018,33.532
2019,39.532
2020,41.185
2021,41.933
