year,consumption_co2
1990,66.057
1991,72.892
1992,81.517
1993,87.244
1994,87.397
1995,98.983
1996,100.828
1997,112.664
1998,79.317
1999,93.53
2000,112.896
2001,118.496
2002,124.205
2003,126.719
2004,134.597
2005,137.351
2006,138.661
2007,148.128
2008,164.213
2009,157.413
2010,178.262
2011,190.442
2012,210.255
2013,239.28
2014,239.286
2015,227.866
2016,223.936
2017,227.236
2018,247.377
2019,249.561
2020,250.561
2021,259.996
