year,consumption_co2
1990,495.648
1991,521.885
1992,613.528
1993,625.84
1994,652.012
1995,686.63
1996,742.254
1997,787.34
1998,596.572
1999,730.604
2000,770.068
2001,797.036
2002,835.161
2003,890.787
2004,952.701
2005,989.362
2006,995.968
2007,1049.25
2008,1156.233
2009,1092.203
2010,1208.675
2011,1409.552
2012,1509.411
2013,1552.248
2014,1487.662
2015,1526.441
2016,1531.811
2017,1581.352
2018,1692.272
2019,1803.373
2020,1757.046
2021,1812.597
