year,consumption_co2
1990,118.801
1991,120.799
1992,155.225
1993,153.902
1994,160.262
1995,171.806
1996,182.651
1997,173.609
1998,130.089
1999,148.279
2000,151.563
2001,157.768
2002,173.676
2003,178.543
2004,196.781
2005,209.702
2006,207.479
2007,212.012
2008,222.272
2009,222.953
2010,246.692
2011,252.768
2012,261.294
2013,266.744
2014,253.092
2015,253.965
2016,254.465
2017,258.815
2018,273.341
2019,272.057
2020,272.15
2021,277.769
