year,consumption_co2
1990,3.979
1991,4.861
1992,5.157
1993,5.379
1994,5.269
1995,5.27
1996,5.979
1997,4.433
1998,5.436
1999,4.413
2000,3.52
2001,3.461
2002,3.438
2003,5.405
2004,5.346
2005,5.088
2006,6.102
2007,7.047
2008,7.704
2009,6.458
2010,6.558
2011,8.751
2012,9.054
2013,8.567
2014,8.692
2015,7.552
2016,7.054
2017,8.4
2018,9.38
2019,10.024
2020,10.401
2021,9.683
