year,consumption_co2
1990,71.561
1991,74.255
1992,84.311
1993,84.874
1994,91.688
1995,90.02
1996,101.78
1997,112.054
1998,96.395
1999,103.407
2000,126.99
2001,110.273
2002,111.172
2003,102.9
2004,120.355
2005,129.453
2006,141.24
2007,131.221
2008,188.765
2009,104.692
2010,109.922
2011,212.9
2012,244.773
2013,259.302
2014,187.829
2015,164.008
2016,149.74
2017,156.492
2018,162.676
2019,161.285
2020,146.445
2021,164.655
