year,consumption_co2
1990,62.772
1991,62.985
1992,76.752
1993,72.381
1994,75.368
1995,80.816
1996,80.155
1997,88.6
1998,80.211
1999,85.912
2000,90.976
2001,90.769
2002,90.101
2003,91.523
2004,94.222
2005,94.24
2006,83.814
2007,90.462
2008,99.947
2009,93.534
2010,102.284
2011,109.498
2012,118.445
2013,129.11
2014,135.8
2015,143.818
2016,155.617
2017,167.607
2018,175.437
2019,177.298
2020,166.855
2021,182.87
