year,consumption_co2
1990,23.125
1991,22.966
1992,23.011
1993,24.969
1994,29.204
1995,32.01
1996,38.116
1997,45.599
1998,47.272
1999,43.789
2000,36.841
2001,41.824
2002,47.309
2003,60.254
2004,68.678
2005,73.366
2006,75.38
2007,78.031
2008,88.247
2009,95.218
2010,101.488
2011,106.946
2012,103.481
2013,107.973
2014,126.047
2015,147.676
2016,151.462
2017,148.822
2018,163.236
2019,211.24
2020,224.8
2021,227.044
