year,consumption_co2
1990,146.695
1991,160.335
1992,184.611
1993,194.161
1994,199.659
1995,204.512
1996,229.196
1997,246.904
1998,153.754
1999,247.324
2000,239.951
2001,266.262
2002,275.482
2003,317.035
2004,322.462
2005,328.196
2006,329.626
2007,367.933
2008,367.99
2009,395.302
2010,445.443
2011,503.833
2012,537.816
2013,512.929
2014,509.986
2015,545.719
2016,549.233
2017,563.748
2018,605.42
2019,660.633
2020,622.604
2021,624.008
