year,land_use_change_co2
1990,1034.721
1991,895.809
1992,1112.986
1993,881.292
1994,1258.863
1995,1182.873
1996,1196.824
1997,2866.267
1998,1618.366
1999,1655.393
2000,1422.373
2001,1292.501
2002,1550.278
2003,1281.286
2004,1366.28
2005,1343.036
2006,1873.693
2007,1244.941
2008,1435.888
2009,1709.248
2010,1220.362
2011,1625.998
2012,1512.245
2013,1397.642
2014,1996.007
2015,2098.554
2016,1199.55
2017,1365.335
2018,1197.393
2019,1744.912
2020,1503.173
2021,1553.281
