year,land_use_change_co2
1990,497.227
1991,409.643
1992,652.677
1993,448.802
1994,791.66
1995,684.51
1996,730.093
1997,2474.84
1998,1146.639
1999,1159.971
2000,836.486
2001,827.764
2002,1076.239
2003,735.995
2004,835.711
2005,779.16
2006,1265.132
2007,535.139
2008,597.031
2009,876.553
2010,498.996
2011,732.776
2012,746.869
2013,747.272
2014,937.673
2015,1397.082
2016,643.444
2017,611.216
2018,520.236
2019,1074.289
2020,836.091
2021,888.556
