year,land_use_change_co2
1990,125.433
1991,81.916
1992,61.388
1993,48.606
1994,76.919
1995,39.51
1996,16.52
1997,0.879
1998,1.883
1999,-5.537
2000,3.314
2001,-2.245
2002,-4.792
2003,5.625
2004,21.929
2005,39.089
2006,49.837
2007,98.237
2008,254.566
2009,164.599
2010,126.773
2011,274.531
2012,198.867
2013,121.467
2014,106.679
2015,78.968
2016,63.596
2017,59.498
2018,50.365
2019,45.527
2020,42.001
2021,39.331
