year,land_use_change_co2
1990,1.155
1991,1.097
1992,1.309
1993,1.344
1994,1.254
1995,1.028
1996,1.248
1997,1.412
1998,1.978
1999,0.995
2000,1.026
2001,0.994
2002,0.972
2003,1.063
2004,0.79
2005,0.705
2006,1.003
2007,1.173
2008,1.611
2009,1.881
2010,1.491
2011,1.75
2012,1.921
2013,1.11
2014,2.331
2015,1.528
2016,1.297
2017,1.943
2018,1.385
2019,1.427
2020,1.399
2021,1.279
