year,land_use_change_co2
1990,0.142
1991,0.111
1992,0.161
1993,0.169
1994,0.372
1995,0.264
1996,0.23
1997,0.218
1998,0.218
1999,0.164
2000,0.143
2001,0.2
2002,0.192
2003,0.159
2004,0.121
2005,0.119
2006,0.098
2007,0.116
2008,0.133
2009,0.144
2010,0.151
2011,0.206
2012,0.181
2013,0.117
2014,0.297
2015,0.121
2016,0.091
2017,0.129
2018,0.129
2019,0.166
2020,0.182
2021,0.193
