year,land_use_change_co2
1990,43.757
1991,46.142
1992,56.688
1993,51.708
1994,56.707
1995,59.849
1996,56.727
1997,53.072
1998,73.339
1999,99.31
2000,97.759
2001,82.335
2002,83.607
2003,98.007
2004,115.563
2005,150.822
2006,179.63
2007,182.424
2008,167.362
2009,142.954
2010,125.761
2011,110.373
2012,107.705
2013,103.034
2014,109.997
2015,100.315
2016,105.505
2017,99.283
2018,96.594
2019,95.746
2020,95.378
2021,95.634
