year,land_use_change_co2
1990,17.717
1991,16.922
1992,16.27
1993,20.697
1994,20.433
1995,20.901
1996,28.604
1997,24.192
1998,26.138
1999,31.978
2000,46.147
2001,44.373
2002,45.835
2003,49.687
2004,56.374
2005,58.875
2006,55.778
2007,61.994
2008,67.668
2009,80.616
2010,75.89
2011,65.977
2012,57.695
2013,72.439
2014,95.952
2015,63.497
2016,42.192
2017,61.135
2018,52.304
2019,49.628
2020,47.225
2021,47.035
