year,land_use_change_co2
1990,188.213
1991,153.932
1992,177.621
1993,178.737
1994,187.193
1995,145.637
1996,126.699
1997,113.05
1998,139.178
1999,108.648
2000,91.641
2001,112.278
2002,125.258
2003,109.091
2004,90.819
2005,85.492
2006,108.054
2007,113.571
2008,129.741
2009,160.929
2010,150.19
2011,212.719
2012,208.191
2013,159.64
2014,296.872
2015,177.735
2016,130.509
2017,209.426
2018,169.968
2019,174.387
2020,176.116
2021,174.116
