year,land_use_change_co2
1990,68.433
1991,50.882
1992,43.58
1993,40.133
1994,40.089
1995,35.202
1996,30.948
1997,34.954
1998,33.74
1999,46.683
2000,53.903
2001,52.021
2002,49.747
2003,53.558
2004,55.38
2005,36.548
2006,28.005
2007,26.297
2008,27.086
2009,42.367
2010,29.017
2011,24.367
2012,21.688
2013,18.222
2014,43.696
2015,27.056
2016,20.934
2017,33.973
2018,30.432
2019,30.195
2020,29.48
2021,29.484
