year,land_use_change_co2
1990,43.61
1991,99.257
1992,74.755
1993,66.751
1994,55.553
1995,150.648
1996,125.321
1997,127.586
1998,167.067
1999,187.888
2000,269.316
2001,154.469
2002,128.197
2003,149.95
2004,157.402
2005,110.85
2006,89.601
2007,115.18
2008,105.447
2009,181.267
2010,122.519
2011,104.893
2012,104.709
2013,111.505
2014,355.786
2015,211.867
2016,156.405
2017,254.245
2018,247.029
2019,248.054
2020,249.736
2021,252.922
