year,co2
1990,5.456
1991,7.211
1992,6.885
1993,6.357
1994,5.553
1995,5.825
1996,5.879
1997,6.087
1998,5.595
1999,5.978
2000,5.329
2001,5.19
2002,4.67
2003,5.598
2004,5.641
2005,5.429
2006,7.144
2007,8.077
2008,9.166
2009,7.745
2010,8.017
2011,9.555
2012,9.5
2013,7.626
2014,8.831
2015,6.933
2016,7.633
2017,9.309
2018,9.344
2019,10.733
2020,11.102
2021,11.302
