year,co2
1990,21.299
1991,21.376
1992,21.466
1993,22.853
1994,27.362
1995,30.089
1996,35.482
1997,45.502
1998,47.866
1999,48.548
2000,53.935
2001,60.984
2002,69.528
2003,77.262
2004,88.939
2005,95.846
2006,99.652
2007,101.43
2008,114.303
2009,124.493
2010,139.564
2011,152.56
2012,144.277
2013,151.438
2014,181.843
2015,215.462
2016,223.204
2017,229.643
2018,257.722
2019,341.789
2020,363.343
2021,352.553
