year,co2
1990,41.349
1991,43.472
1992,48.293
1993,48.929
1994,54.158
1995,59.965
1996,61.265
1997,70.069
1998,68.264
1999,68.188
2000,72.357
2001,70.326
2002,70.267
2003,70.287
2004,72.806
2005,73.303
2006,66.554
2007,70.796
2008,77.331
2009,76.61
2010,83.063
2011,83.908
2012,88.629
2013,96.036
2014,101.484
2015,112.449
2016,121.792
2017,135.15
2018,141.518
2019,144.16
2020,132.851
2021,142.754
