year,co2
1990,54.269
1991,65.785
1992,72.961
1993,86.719
1994,88.036
1995,110.841
1996,110.633
1997,119.629
1998,109.782
1999,103.987
2000,122.878
2001,130.89
2002,132.035
2003,153.384
2004,169.678
2005,169.967
2006,170.166
2007,175.451
2008,192.847
2009,192.119
2010,199.346
2011,203.452
2012,212.99
2013,241.671
2014,245.05
2015,235.506
2016,236.817
2017,244.106
2018,262.207
2019,267.494
2020,269.249
2021,278.861
