year,co2
1990,1.26
1991,1.304
1992,1.348
1993,1.385
1994,1.482
1995,1.555
1996,1.631
1997,1.552
1998,1.963
1999,1.894
2000,1.975
2001,2.25
2002,2.206
2003,2.378
2004,2.444
2005,2.774
2006,2.997
2007,3.471
2008,3.867
2009,4.557
2010,5.078
2011,5.275
2012,5.576
2013,5.637
2014,6.834
2015,8.366
2016,10.922
2017,12.476
2018,13.934
2019,18.22
2020,19.034
2021,20.13
