year,co2
1990,4.236
1991,4.137
1992,4.842
1993,5.303
1994,6.174
1995,6.893
1996,7.188
1997,7.42
1998,8.046
1999,8.934
2000,10.219
2001,8.856
2002,9.328
2003,9.997
2004,12.565
2005,11.555
2006,12.813
2007,12.841
2008,9.772
2009,10.207
2010,13.122
2011,15.122
2012,11.819
2013,12.722
2014,15.849
2015,21.887
2016,21.14
2017,23.63
2018,34.017
2019,33.617
2020,34.61
2021,35.619
