year,co2
1990,155.081
1991,174.865
1992,199.419
1993,215.109
1994,219.372
1995,222.41
1996,253.065
1997,279.941
1998,244.523
1999,292.001
2000,281.33
2001,317.027
2002,308.486
2003,339.357
2004,343.022
2005,347.617
2006,346.633
2007,387.858
2008,365.718
2009,398.942
2010,445.806
2011,500.725
2012,515.954
2013,489.055
2014,487.89
2015,539.149
2016,540.086
2017,556.944
2018,594.101
2019,650.906
2020,605.985
2021,615.923
