year,co2
1990,413.562
1991,457.976
1992,508.761
1993,558.779
1994,599.727
1995,632.445
1996,697.472
1997,768.932
1998,693.975
1999,746.811
2000,764.729
2001,818.053
2002,829.444
2003,900.007
2004,950.567
2005,963.739
2006,965.849
2007,1016.623
2008,1046.089
2009,1091.426
2010,1181.068
2011,1252.662
2012,1305.197
2013,1327.109
2014,1376.828
2015,1488.005
2016,1502.386
2017,1554.305
2018,1671.783
2019,1802.101
2020,1782.514
2021,1803.559
