year,co2
1990,86.563
1991,95.045
1992,105.513
1993,121.855
1994,136.87
1995,153.65
1996,173.566
1997,181.203
1998,159.704
1999,167.235
2000,167.352
2001,172.267
2002,184.665
2003,191.088
2004,207.331
2005,214.325
2006,215.825
2007,224.083
2008,224.249
2009,228.836
2010,241.019
2011,244.878
2012,262.348
2013,263.754
2014,272.488
2015,277.099
2016,284.045
2017,283.348
2018,288.346
2019,281.87
2020,271.852
2021,267.219
