country,year,iso_code,population,gdp,co2,co2_per_capita,consumption_co2,consumption_co2_per_capita,land_use_change_co2,land_use_change_co2_per_capita
Vietnam,2014,VNM,91235504,5.19523E+11,181.843,1.993,126.047,1.382,355.786,3.9
Vietnam,2015,VNM,92191400,5.55822E+11,215.462,2.337,147.676,1.602,211.867,2.298
Vietnam,2016,VNM,93126528,5.93007E+11,223.204,2.397,151.462,1.626,156.405,1.679
Vietnam,2017,VNM,94033048,6.34161E+11,229.643,2.442,148.822,1.583,254.245,2.704
Vietnam,2018,VNM,94914328,6.81501E+11,257.722,2.715,163.236,1.72,247.029,2.603
Vietnam,2019,VNM,95776712,7.31653E+11,341.789,3.569,211.24,2.206,248.054,2.59
Vietnam,2020,VNM,96648680,7.5263E+11,363.343,3.759,224.8,2.326,249.736,2.584
Vietnam,2021,VNM,97468024,7.71912E+11,352.553,3.617,227.044,2.329,252.922,2.595
SEA,1990,SEA,439985830,1.74484E+12,413.562,42.105,495.648,47.355,1034.721,34.53
SEA,1991,SEA,448644781,1.86901E+12,457.976,48.551,521.885,50.61,895.809,28.78
SEA,1992,SEA,457379223,1.99811E+12,508.761,47.803,613.528,54.74,1112.986,29.832
SEA,1993,SEA,466159174,2.15303E+12,558.779,46.458,625.84,54.447,881.292,28.212
SEA,1994,SEA,474790625,2.32107E+12,599.727,46.043,652.012,54.865,1258.863,29.879
SEA,1995,SEA,483281600,2.5083E+12,632.445,41.842,686.63,53.883,1182.873,26.419
SEA,1996,SEA,491773400,2.69717E+12,697.472,43.63,742.254,58.528,1196.824,26.715
SEA,1997,SEA,500271780,2.80306E+12,768.932,46.511,787.34,55.554,2866.267,33.129
SEA,1998,SEA,508650247,2.59335E+12,693.975,40.578,596.572,50.568,1618.366,30.228
SEA,1999,SEA,516755249,2.68034E+12,746.811,41.423,730.604,49.436,1655.393,28.201
SEA,2000,SEA,524519125,2.83984E+12,764.729,39.394,770.068,52.801,1422.373,29.853
SEA,2001,SEA,532083542,2.94535E+12,818.053,39.108,797.036,48.236,1292.501,27.746
SEA,2002,SEA,539580383,3.10563E+12,829.444,36.771,835.161,48.349,1550.278,28.925
SEA,2003,SEA,546996712,3.29001E+12,900.007,40.588,890.787,51.609,1281.286,28.629
SEA,2004,SEA,554255612,3.51324E+12,950.567,40.629,952.701,55.73,1366.28,28.602
SEA,2005,SEA,561488798,3.72816E+12,963.739,38.388,989.362,56.687,1343.036,27.5
SEA,2006,SEA,568852049,3.96451E+12,965.849,42.488,995.968,60.778,1873.693,30.355
SEA,2007,SEA,576345120,4.24807E+12,1016.623,42.214,1049.25,60.235,1244.941,29.603
SEA,2008,SEA,583810871,4.48508E+12,1046.089,48.332,1156.233,73.536,1435.888,33.768
SEA,2009,SEA,591244572,4.60999E+12,1091.426,43.933,1092.203,51.677,1709.248,38.184
SEA,2010,SEA,598689708,4.96156E+12,1181.068,44.449,1208.675,53.189,1220.362,31.842
SEA,2011,SEA,606151319,5.21992E+12,1252.662,46.558,1409.552,78.567,1625.998,35.027
SEA,2012,SEA,613674868,5.5418E+12,1305.197,49.476,1509.411,85.005,1512.245,31.944
SEA,2013,SEA,621095704,5.82922E+12,1327.109,46.202,1552.248,86.608,1397.642,28.8
SEA,2014,SEA,628319765,6.1097E+12,1376.828,48.773,1487.662,72.792,1996.007,44.26
SEA,2015,SEA,635438342,6.41444E+12,1488.005,46.77,1526.441,65.928,2098.554,31.631
SEA,2016,SEA,642531663,6.74253E+12,1502.386,45.622,1531.811,62.301,1199.55,22.073
SEA,2017,SEA,649456154,7.10832E+12,1554.305,50.075,1581.352,67.573,1365.335,30.046
SEA,2018,SEA,656122178,7.48694E+12,1671.783,52.92,1692.272,71.828,1197.393,25.078
SEA,2019,SEA,662616666,7.84275E+12,1802.101,54.122,1803.373,73.516,1744.912,26.595
SEA,2020,SEA,668864371,7.57942E+12,1782.514,57.989,1757.046,71.307,1503.173,25.012
SEA,2021,SEA,674475139,7.78689E+12,1803.559,58.954,1812.597,73.138,1553.281,24.587
